scenario,label,metric,low_var,high_var,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
scenario_06_weak_io,Weaker input-output linkages,Local bond rate,rb1,rb2,2.82489483383053e-05,2.82489483383053e-05,0,-0.000761131764154266,-0.000761131764154266,0,-0.000376288141687997,-0.000376288141687997,0,0.000198680208274737,0.000198680208274737,0
scenario_06_weak_io,Weaker input-output linkages,Central transfer,z1,z2,0,0,0,0,0,0,0,0,0,0,0,0
scenario_06_weak_io,Weaker input-output linkages,Debt service pressure,ds1,ds2,0.00169930811038132,0.00435307906842941,0.00265377095804809,0.000339646365080863,0.000937756173535935,0.000598109808455072,-0.00034693649787476,-0.000646578893439069,-0.000299642395564309,-0.000173377909941911,-0.00021738332790365,-4.40054179617392e-05
scenario_06_weak_io,Weaker input-output linkages,Fiscal space,fs1,fs2,-0.00227155360042952,-0.00494886183563935,-0.00267730823520983,-0.000911769941525822,-0.00155169801617148,-0.000639928074645663,0.000184892606845524,0.000439776045765131,0.000254883438919606,0.000194825736335655,0.000166934984523123,-2.78907518125315e-05
scenario_06_weak_io,Weaker input-output linkages,Public investment,ig1,ig2,-0.00123654437760948,-0.00152917777022275,-0.000292633392613276,-0.0037253380547967,-0.00422548754754122,-0.000500149492744517,-0.00122790923311421,-0.00175480055132865,-0.000526891318214442,0.00101539976914153,0.000260489982924744,-0.000754909786216784
scenario_06_weak_io,Weaker input-output linkages,Public capital,kg1,kg2,-0.00123654437760967,-0.00152917777022266,-0.000292633392612984,-0.0106215410553134,-0.0123125958997345,-0.00169105484442111,-0.0188552971593019,-0.0222749704010821,-0.00341967324178016,-0.0155532927528825,-0.0212541712437342,-0.00570087849085166
scenario_06_weak_io,Weaker input-output linkages,Intermediate output,ym1,ym2,-0.00371103464644074,-0.00393271758288993,-0.000221682936449197,-0.00374886571212341,-0.00401524689728494,-0.000266381185161535,-0.00110931264375469,-0.00130931403645196,-0.000200001392697269,5.91689348505842e-05,-0.000258196171546543,-0.000317365106397127
scenario_06_weak_io,Weaker input-output linkages,Final output,y1,y2,-0.00366919064214855,-0.00397456158718212,-0.000305370945033578,-0.00366840894223053,-0.00409570366717771,-0.00042729472494718,-0.00103901199558898,-0.00137961468461745,-0.000340602689028469,0.000137521684778319,-0.000336548921474056,-0.000474070606252375
scenario_06_weak_io,Weaker input-output linkages,Private investment,inv1,inv2,-0.000554263713116621,-0.000567095683562446,-1.28319704458257e-05,0.00024901529400656,0.000287325584328035,3.83102903214749e-05,0.000388045162194928,0.000532060318295946,0.000144015156101018,-0.000512799727302282,-0.000265270892725822,0.00024752883457646
scenario_06_weak_io,Weaker input-output linkages,Labor demand,n1,n2,-0.000786346028888427,-0.000833319316221201,-4.69732873327744e-05,-0.000737646954188514,-0.000785985533748507,-4.83385795599922e-05,-0.000122967752970812,-0.000148352085842449,-2.53843328716363e-05,0.000117219292308512,7.47425691078468e-05,-4.24767232006656e-05
scenario_06_weak_io,Weaker input-output linkages,Real wage,w1,w2,-0.0409919926473132,-0.0417831727582616,-0.000791180110948364,-0.0152813195888997,-0.0155870686102961,-0.000305749021396462,-0.00501415194377453,-0.00481852066594968,0.000195631277824848,-0.00341056865616718,-0.00363562663642458,-0.000225057980257404
scenario_06_weak_io,Weaker input-output linkages,Consumption,c1,c2,-0.00187838255142236,-0.00187828813339697,9.44180253981131e-08,-0.000192086181440287,-0.000157541703964537,3.45444774757508e-05,-0.000199147924669685,-0.000156874451584743,4.22734730849417e-05,-0.000365078357060789,-0.000331768011673006,3.33103453877825e-05
scenario_06_weak_io,Weaker input-output linkages,Inflation,pinf1,pinf2,-0.00416909566677226,-0.00426980266187327,-0.000100706995101008,-0.00140625886491907,-0.00141796526871019,-1.17064037911119e-05,-4.1441617982807e-06,-1.88419384605787e-06,2.25996795222283e-06,0.000188047107816391,0.000190457848572079,2.41074075568726e-06
