scenario,label,debt_ratio,metric,horizon,low_irf,high_irf,diff_irf
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,6,-0.00249532390406981,-0.00249532390406981,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,7,-0.00178765066490516,-0.00178765066490516,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,8,-0.00116720652206403,-0.00116720652206403,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,9,-0.000676121070115498,-0.000676121070115498,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,10,-0.000325307637466077,-0.000325307637466077,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,11,-0.000103586600667671,-0.000103586600667671,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,12,1.28751765937629e-05,1.28751765937629e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,13,5.25927179779728e-05,5.25927179779728e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,14,4.30340131885032e-05,4.30340131885032e-05,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,15,7.20237180740213e-06,7.20237180740213e-06,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,16,-3.7819264550043e-05,-3.78192645501541e-05,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,17,-8.08953844521065e-05,-8.08953844522176e-05,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,18,-0.000115988698518366,-0.000115988698518366,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,19,-0.000140907291753534,-0.000140907291753534,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,20,-0.000155996543331871,-0.000155996543331871,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,21,-0.000162994180143539,-0.000162994180143539,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,22,-0.000164154451282483,-0.000164154451282483,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,23,-0.000161663569381632,-0.000161663569381632,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,24,-0.000157315044163275,-0.000157315044163164,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,25,-0.000152386513554537,-0.000152386513554537,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,26,-0.000147652665774545,-0.000147652665774434,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,27,-0.000143474818376066,-0.000143474818376066,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,28,-0.000139920462311482,-0.000139920462311371,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,29,-0.000136880841854925,-0.000136880841854814,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,30,-0.000134168295211512,-0.000134168295211401,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,31,-0.000131585948422219,-0.000131585948422219,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,32,-0.000128969882203345,-0.000128969882203234,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,33,-0.000126208273954265,-0.000126208273954154,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,34,-0.000123243864230016,-0.000123243864229905,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,35,-0.000120066165167132,-0.000120066165167021,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,36,-0.000116698842567486,-0.000116698842567486,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,37,-0.000113186255725761,-0.00011318625572565,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,38,-0.00010958165044761,-0.00010958165044761,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,39,-0.000105938224737812,-0.000105938224737701,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Final output,40,-0.00010230333869865,-0.000102303338698539,1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,1,-0.00193404129965946,-0.00193404129965946,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,2,-0.00107722711409708,-0.00107722711409719,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,3,-0.0005137649997069,-0.000513764999707012,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,4,-0.000201343937889509,-0.00020134393788962,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Consumption,5,-7.58741490199943e-05,-7.58741490199943e-05,0
