scenario,label,rho_z,psi_z,phi_z_ds,phi_z_b,horizon,z1,z2,b1,b2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,z_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,33,0,0,-0.00397481282967582,-0.0251128475020298,-0.00386271332292092,-0.0246246875063173,-3.25554728339778e-05,-0.000236756134730046,-2.23619622932714e-05,0.000144055044635105,0.000712317518714325,0.00100141111935542,0.00226729170019357,-0.0235571054137176,-0.000280248766887259,-0.0004881599957125,-0.000574144790443598,-0.000826138309508617,7.51799312335155e-05,8.91080936400446e-05,0,-0.0207619741833964,-0.000204200661896068,0.000166417006928377,0.000289093600641097,-0.0258243971139112,-0.000207911228825242,-0.000251993519065019,1.39281624065291e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,34,0,0,-0.00333536785993105,-0.0242897003972189,-0.00321695568680709,-0.0238350403401701,-2.52237222774345e-05,-0.000226240326382889,-3.27862817275926e-05,0.000139900840801885,0.000606658688017001,0.000963047945612791,0.00281726809570593,-0.0220051298327619,-0.000296030432809902,-0.00045466005704875,-0.000557983312140298,-0.00081326511736135,7.30842153182643e-05,8.44615677646487e-05,0,-0.0206180846533631,-0.000201016604105454,0.000172687122529477,0.000356389257595791,-0.0248223979284679,-0.000158629624238849,-0.000255281805221053,1.13773524463845e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,35,0,0,-0.0027830116938935,-0.0235008265864893,-0.00265948252777719,-0.0230789882517995,-1.90019128461167e-05,-0.000216622082799931,-4.15149008572008e-05,0.000136515409141641,0.000510841265180251,0.000925389219871259,0.00325767765849339,-0.0205296123670715,-0.000308822915290774,-0.000421838334689784,-0.000541910185814842,-0.000799372913973584,7.11552157075523e-05,8.01986901055596e-05,0,-0.0204195057240224,-0.000197620169953815,0.000178030309998842,0.000414547954691008,-0.0237872900255649,-0.00011301541939901,-0.000257462728158742,9.04347439800723e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,36,0,0,-0.00230952020498831,-0.0227455817719945,-0.00218199021879877,-0.0223559093143869,-1.374349101792e-05,-0.000207711076443752,-4.87333203980506e-05,0.000133712670352587,0.000424758168507011,0.00088895748484745,0.00360099388553792,-0.0191274145730476,-0.000318824965473863,-0.000389672457607571,-0.000526039110131715,-0.000784679200225735,6.93056382912172e-05,7.6199965105106e-05,0,-0.0201739190955881,-0.000193967585425832,0.000182445990750638,0.000464199316340438,-0.0227284084585855,-7.08474921337077e-05,-0.00025864009009402,6.8943268138888e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,37,0,0,-0.00190680725293341,-0.0220228622614584,-0.00177628776013569,-0.0216646296858781,-9.31576127735124e-06,-0.000199355342588794,-5.46256064062473e-05,0.000131327338337137,0.000348087345648507,0.000854046848873177,0.00385905638404793,-0.0177951823598481,-0.000326298731994301,-0.00035823257558032,-0.000510441492380775,-0.000769345323768933,6.74617112119691e-05,7.23685170538335e-05,0,-0.0198883419257424,-0.000190039581311443,0.000185952944743384,0.000505959503224671,-0.021654238743896,-3.19338435860184e-05,-0.000258903831388158,4.90680584186443e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,38,0,0,-0.00156709767482527,-0.0213313082602641,-0.0014344843536236,-0.0210036801110339,-5.60364304780757e-06,-0.000191446202814806,-5.93634890559414e-05,0.000129229948213502,0.000280346089052058,0.000820783949407919,0.00404292606349888,-0.0165295188514438,-0.000331533303004172,-0.000327628149230152,-0.000495154477263671,-0.000753486981499907,6.55709767380941e-05,6.86362081525616e-05,0,-0.0195691957574103,-0.000185842559766999,0.000188593437269444,0.000540437860355861,-0.0205724449149427,3.90515377401979e-06,-0.000258332504236236,3.06523141446746e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,39,0,0,-0.00128305192689909,-0.020669453901928,-0.0011491250376732,-0.0203714832050128,-2.50986720791435e-06,-0.000183914528842694,-6.31007805440564e-05,0.000127330194478983,0.000220944967381995,0.000789184552815153,0.0041627978792933,-0.0153270963273426,-0.000334817223064721,-0.000297970696915173,-0.000480190939207925,-0.000737186762032049,6.36035109626842e-05,6.49628671838265e-05,0,-0.0192223581673396,-0.00018140466163478,0.00019043097502304,0.000568239585433158,-0.0194898942066359,3.68465261495476e-05,-0.000256995822824124,1.35935622114225e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,40,0,0,-0.00104784493156418,-0.0200358267949136,-0.000913276769985472,-0.0197664753314161,4.69267674805401e-08,-0.00017672248190633,-6.59717331973619e-05,0.000125572911060315,0.000169235262137468,0.00075920001807471,0.0042279631944484,-0.0141847189010842,-0.000336420403946769,-0.000269351463497491,-0.000465549065223447,-0.000720505990808085,6.15490742243985e-05,6.13315448099172e-05,0,-0.0188531985614306,-0.00017676940867381,0.000191544644257677,0.000589964755937242,-0.0184126820955326,6.70689404492775e-05,-0.000254956925584637,-2.17529414481277e-07
policy_cf_central_transfer_stabilizer,Central transfer stabilizer,0.7,0.2,0.05,0.02,1,0.00133130399445003,0.00181621149259226,0.00503519962905746,0.0126652464482966,0.013248278243778,0.0347562608370875,0.00605014525247632,0.015389277178233,-0.0087424201753389,-0.0177681270039162,-0.00370722054628145,-0.00510288055561953,-0.00370722054628159,-0.00510288055561947,-0.0205326965368015,-0.0220910143887909,-0.0153307078803145,-0.0154849284137296,-0.0147687825345109,-0.0150144742625627,0.000484907498142229,0.0215079825933094,0.00933913192575672,-0.00902570682857733,-0.00139566000933808,-0.00139566000933788,-0.00155831785198945,-0.000154220533415073,-0.000245691728051889
policy_cf_central_transfer_stabilizer,Central transfer stabilizer,0.7,0.2,0.05,0.02,2,0.00178235002393257,0.00243154508060839,0.00361805224419531,0.0148926944011614,0.0100589156180184,0.0329540081827678,0.00381130546358556,0.0096902505362059,-0.00518432790056615,-0.0106885306989732,-0.00660147528542833,-0.00846108274610859,-0.0102160153180528,-0.0134363912878377,-0.0161021584345576,-0.0180613137816065,-0.0082726706609908,-0.00837742215064308,-0.00909294226171076,-0.00923294524295326,0.000649195056675819,0.0228950925647495,0.00587894507262034,-0.00550420279840702,-0.00185960746068026,-0.00322037596978486,-0.00195915534704882,-0.000104751489652277,-0.000140002981242504
policy_cf_central_transfer_stabilizer,Central transfer stabilizer,0.7,0.2,0.05,0.02,3,0.0017113449946318,0.00234057371509065,-0.00173140090230778,0.0105954859093087,0.00317524143623239,0.024651154568663,0.00206665439551071,0.00527697837560109,-0.00275906852632532,-0.00560556194127663,-0.00810852167282844,-0.0099027704331294,-0.01806913660793,-0.0230032519387708,-0.0122666058463504,-0.0140556686593543,-0.00387982308832568,-0.00389189603095275,-0.00514928772121892,-0.00518216041813824,0.000629228720458848,0.0214759131324306,0.00321032398009039,-0.00284649341495131,-0.00179424876030096,-0.00493411533084087,-0.00178906281300384,-1.20729426270616e-05,-3.28726969193172e-05
