scenario,label,psi_L,ucrit,nu,horizon,u1,u2,u1_dev,u2_dev,pressure1,pressure2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,u_gap,pressure_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,21,0.479853340625026,0.836328366300098,-0.0201466593749736,-0.0136716336999021,-7.18544132710692e-07,-0.0026657854000808,-0.0159709210366054,-0.0149529883178662,-0.000163096051291289,-0.000155278512319133,9.13716727700131e-05,-5.95516747118607e-05,0.00124511878567615,0.000559505092907475,-0.0198367676163245,-0.0363694120312199,-0.00036601615843368,-0.00113128662319517,-0.00079690563613144,-0.000846667675208912,0.000138981303919428,0.000161440557052028,0.00647502567507147,-0.00266506685594809,0.0010179327187392,7.81753897215534e-06,-0.000150923347481874,-0.000685613692768677,-0.0165326444148954,-0.000765270464761492,-4.97620390774722e-05,2.24592531326007e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,22,0.481219029846738,0.836844892737435,-0.0187809701532616,-0.0131551072625649,-6.80429621826502e-07,-0.00257795421492242,-0.0148759279717723,-0.014370456884725,-0.000151057850273472,-0.000146953600190836,7.81372915301531e-05,-6.31012485116378e-05,0.00117068866889954,0.000544576913061617,-0.0181701597570165,-0.0349155998173778,-0.000372120377092555,-0.00110613989476305,-0.000784090014227634,-0.000843607472727492,0.000136795458188788,0.000157841976216266,0.00562586289069672,-0.0025772737853006,0.000505471087047205,4.10425008263602e-06,-0.000141238540041791,-0.000626111755837919,-0.0167454400603613,-0.000734019517670492,-5.95174584998581e-05,2.10465180274788e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,23,0.482507006318287,0.837348642146247,-0.0174929936817125,-0.012651357853753,-6.43271858670188e-07,-0.00249138517888831,-0.0138436212144277,-0.013803083669617,-0.000139821407270673,-0.000139272643204159,6.59575087787884e-05,-6.59828601835694e-05,0.00109633868601781,0.000526663503124442,-0.0166195670770732,-0.0335160463188191,-0.00037693432735586,-0.00108086674656305,-0.000770892671404289,-0.00083947799640216,0.000134840957758842,0.000154555650998311,0.00484163582795949,-0.00249074190702964,4.05375448106586e-05,5.48764066513573e-07,-0.000131940368962358,-0.000569675182893373,-0.0168964792417459,-0.000703932419207187,-6.85853249978718e-05,1.97146932394698e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,24,0.483717857932229,0.837837692146475,-0.0162821420677714,-0.0121623078535253,-6.07230984083775e-07,-0.00240647498765314,-0.0128736755833636,-0.0132535170589847,-0.000129338146803515,-0.000132114066154945,5.48548494662404e-05,-6.82446390583569e-05,0.00102353614061899,0.000507108302386136,-0.015180541759527,-0.0321710368584625,-0.000380095177133888,-0.00105508041575098,-0.000757353296957919,-0.000834362961619761,0.000133039058909379,0.000151490292922496,0.00411983421424605,-0.00240586775666906,-0.000379841475621135,-2.77591935143005e-06,-0.000123099488524597,-0.000516427838232858,-0.0169904950989355,-0.000674985238617087,-7.70096646618423e-05,1.84512340131171e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,25,0.484853378586493,0.838310964091113,-0.0151466214135073,-0.0116890359088874,-5.72426535501855e-07,-0.0023234842153653,-0.011964621145569,-0.0127229706698556,-0.000119527085646857,-0.000125302072195806,4.47312746975348e-05,-7.0072898485013e-05,0.00095314779810865,0.000486717624618369,-0.0138478804174302,-0.0308800433123824,-0.00038168996309218,-0.00102883628177663,-0.000743562159003064,-0.000828388712611039,0.00013125517738799,0.000148503021680568,0.00345758550461994,-0.0023229117888298,-0.000758349524286651,-5.77498654894849e-06,-0.000114804173182548,-0.000466430173490281,-0.0170321628949521,-0.000647146318684455,-8.48265536079751e-05,1.72478442925783e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,26,0.485916100824535,0.838767921749586,-0.0140838991754652,-0.0112320782504135,-5.38946117867289e-07,-0.00224258300099195,-0.0111143242826683,-0.0122118458841324,-0.000110318301872341,-0.000118705617111314,3.54641574417253e-05,-7.16422602426992e-05,0.000885641947875243,0.000465954985020736,-0.0126160414591192,-0.0296420872445524,-0.000381987644259674,-0.00100236382223651,-0.000729591126926055,-0.000821657401443465,0.000129381051946709,0.00014547993628633,0.00285182092505171,-0.00224204405487408,-0.00109752160146408,-8.3873152389724e-06,-0.000107106417684424,-0.000419686962854507,-0.0170260457854332,-0.000620376177976834,-9.20662745174106e-05,1.60988843396215e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,27,0.486908980331615,0.839208356000783,-0.0130910196683854,-0.0107916439992171,-5.06852042234633e-07,-0.00216388472082671,-0.0103203058744945,-0.0117201463779532,-0.000101665452178093,-0.000112262589253752,2.69510257097233e-05,-7.30608577526604e-05,0.000821254631373364,0.000445097084831453,-0.0114793857912674,-0.0284559379786069,-0.000381274650534724,-0.000975905385831588,-0.000715476626987233,-0.000814231844197932,0.000127359874403821,0.000142360037422851,0.00229937566916838,-0.00216337786878447,-0.00139984050345867,-1.05971370756592e-05,-0.000100011883462384,-0.000376157546541911,-0.0169765521873395,-0.000594630735296864,-9.87552172106998e-05,1.500016301903e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,28,0.487835203501727,0.839632253749039,-0.012164796498273,-0.0103677462509612,-4.76185813223656e-07,-0.00208746680047484,-0.00957992492058192,-0.0112477029778267,-9.3542337665742e-05,-0.00010596665751886,1.91206661024484e-05,-7.43700737039499e-05,0.000760099202192221,0.000424333159538298,-0.0104323019442933,-0.0273202063696036,-0.000379780695091259,-0.000949645552715817,-0.000701227707377905,-0.000806144918626517,0.000125180635304201,0.000139128864831362,0.00179705024731186,-0.00208699061466161,-0.00166777805724482,-1.24243198531175e-05,-9.34907398063983e-05,-0.000335766042653923,-0.0168879044253103,-0.000569864857624558,-0.000104917211248612,1.39482295271609e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,29,0.488698076518688,0.840039728474643,-0.0113019234813115,-0.00996027152535717,-4.46971044845095e-07,-0.00201338170351983,-0.0088904734310965,-0.010794268170745,-8.59342659738412e-05,-9.98429984802891e-05,1.19275016637194e-05,-7.55663812964102e-05,0.000702225915232779,0.000403815648825939,-0.00946926848045315,-0.0262333855615378,-0.000377663384881766,-0.000923698329675204,-0.000686841059576948,-0.000797415392597034,0.000122861454464829,0.000135801508782896,0.00134165195595437,-0.00201293473247499,-0.00190379473964852,-1.39087325064478e-05,-8.74938829601296e-05,-0.00029841026640684,-0.0167641170810846,-0.000546034944793439,-0.000110574333020086,1.29400543180669e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,30,0.489500960129056,0.840430987261999,-0.0104990398709442,-0.00956901273800104,-4.19215511718589e-07,-0.00194166196770657,-0.00824922324188475,-0.010359540090551,-7.88301042190295e-05,-9.3926906647392e-05,5.34101572184642e-06,-7.66255452529646e-05,0.000647647904015475,0.000383678910460108,-0.00858488886442643,-0.0251938720120393,-0.00037502163717662,-0.000898121954156172,-0.000672313645866396,-0.000788060996941176,0.000120433275738074,0.000132406213168679,0.000930027132943212,-0.00194124275219485,-0.0021103168486662,-1.50968024283625e-05,-8.1966560974811e-05,-0.000263968993555366,-0.0166089831476128,-0.000523100316979552,-0.00011574735107478,1.19729374306043e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,31,0.490247226198011,0.840806314980244,-0.00975277380198897,-0.00919368501975615,-3.92912878372958e-07,-0.00187232244167892,-0.00765345217794482,-0.00994315920526334,-7.2217210728729e-05,-8.82501971894798e-05,-6.63525502014872e-07,-7.75203823863702e-05,0.000596349329662113,0.00036404163907823,-0.00777391731315324,-0.0241999835726601,-0.000371917159115887,-0.000872940817979173,-0.000657649908240132,-0.000778105879177593,0.000117928538039269,0.000128973050263603,0.000559088782232819,-0.00187192952880054,-0.00228970702731852,-1.60329864607508e-05,-7.68568568843553e-05,-0.000232307690583883,-0.0164260662595068,-0.000501023658863287,-0.000120455970937461,1.10445122243341e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,32,0.490940223305175,0.84116606399912,-0.00905977669482516,-0.00883393600088045,-3.68044405741589e-07,-0.00180536169483801,-0.00710046412926519,-0.00954470192136381,-6.6079270859748e-05,-8.28351265424951e-05,-6.11088560338591e-06,-7.82303531147721e-05,0.000548286800127515,0.000345003786739004,-0.00703128258019703,-0.0232499801966046,-0.000368393066487283,-0.000848163962024917,-0.000642864009807509,-0.000767583001408889,0.000115375292150555,0.00012552805681243,0.000225840693944712,-0.00180499365043227,-0.00244423779209861,-1.67558556827471e-05,-7.21194675113862e-05,-0.000203283013388511,-0.0162186976164076,-0.000479770895537635,-0.00012471899160138,1.01527646618749e-05
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,33,0.491583246373449,0.841510644141452,-0.00841675362655114,-0.00848935585854815,-3.4458072967281e-07,-0.00174076352909766,-0.00658760852305704,-0.00916368072033313,-6.03961636632695e-05,-7.76934900191505e-05,-1.10283549419193e-05,-7.87446826461119e-05,0.000503390099677176,0.000326643720097705,-0.00635211041601469,-0.0223420869715918,-0.00036448594545968,-0.000823796760311746,-0.000627978852261291,-0.000756533285925398,0.000112795375751373,0.000122091409014757,-7.26022319970099e-05,-0.00174041894836798,-0.00257607219727609,-1.7297326355881e-05,-6.77163277041926e-05,-0.00017674637957947,-0.0159899765555771,-0.000459310814852065,-0.000128554433664108,9.29603326338402e-06
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,34,0.492179509489457,0.841840511534872,-0.00782049051054329,-0.00815948846512815,-3.22483683000308e-07,-0.00167849883156653,-0.00611229971719761,-0.0087995518305537,-5.51448713379619e-05,-7.28283796854346e-05,-1.5445992550836e-05,-7.90616368583769e-05,0.000461564500255293,0.000309017649518101,-0.00573174315535896,-0.0214745171477841,-0.000360231728092519,-0.000799846363714773,-0.000613023627952236,-0.000745003289301382,0.000110204887836085,0.000118677871243866,-0.000338997954584863,-0.00167817634788353,-0.00268725211335609,-1.76835083474727e-05,-6.36156443075409e-05,-0.000152546850737192,-0.0157427739924252,-0.000439614635622254,-0.000131979661349146,8.47298340778124e-06
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,35,0.492732122627569,0.842156156898271,-0.00726787737243073,-0.00784384310172948,-3.01708082947167e-07,-0.00161852766306125,-0.00567203496467478,-0.00845172775696512,-5.03006867379223e-05,-6.82367456704899e-05,-1.9395740166947e-05,-7.91861985506709e-05,0.000422694770323015,0.000292161287800824,-0.00516575480615167,-0.0206454929312887,-0.000355667333174492,-0.000776322950951869,-0.000598031147208467,-0.000733042647248161,0.000107615557432439,0.000115298120415774,-0.000575965729298744,-0.0016182259549783,-0.00277969279229034,-1.79360589325677e-05,-5.97904583837239e-05,-0.000130533482522191,-0.015479738125137,-0.000420655617777377,-0.000135011500039695,7.68256298333547e-06
