scenario,label,phi_pi,rho_demand,shock_stderr,horizon,demand,r,yagg,pinfagg,cr1,ch1,nr1,nh1,cr2,ch2,nr2,nh2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap,abs_ds_gap,abs_ig_gap,abs_y_gap,abs_pinf_gap
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,11,-0.000268435456000001,-4.4797105754224e-05,0.000215142004607483,-8.86802788757635e-06,-0.000192918396356934,-0.000129006286500255,7.16547935054185e-05,1.57476034852028e-05,-0.000225123103480218,-0.000118929402143864,0.000107410593106635,1.45175333582659e-05,5.23754745559791e-05,-3.52489420976116e-05,-5.00480861588964e-05,9.75111346059737e-05,0.0013857181671776,0.00184435389197066,0.0113552987141552,0.0138194147306643,1.4923021457669e-05,0.000415360987757074,-0.00017374476339993,-0.000193264993079256,-8.41897480563514e-06,-9.31708096940653e-06,-8.76244166535907e-05,0.00014755922076487,0.000458635724793058,0.00246411601650909,0.000400437966299405,-1.95202296793262e-05,-8.98106163771395e-07,8.76244166535907e-05,0.000458635724793058,0.000400437966299405,8.98106163771395e-07
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,12,-0.000214748364800001,-2.16384332858421e-05,9.21440390211359e-05,-5.59901402452656e-06,-0.000131767569345076,-0.00010864837711877,3.34860835037726e-05,1.32625440867479e-05,-0.000163871475712174,-9.42733359217129e-05,7.23888555183294e-05,1.15078044147787e-05,8.86845628980688e-05,3.60983965189254e-05,-0.000107766943775664,9.86703780943288e-06,0.000974718383112499,0.00148797160014684,0.0120461346294136,0.0149619009625446,-0.000122354644228273,0.000306642722270656,-0.000124831811677106,-0.000142992033774991,-5.40986376995622e-06,-5.7881642790969e-06,-5.25861663791434e-05,0.000117633981585097,0.00051325321703434,0.00291576633313095,0.000428997366498929,-1.81602220978849e-05,-3.78300509140672e-07,5.25861663791434e-05,0.00051325321703434,0.000428997366498929,3.78300509140672e-07
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,13,-0.00017179869184,-1.67481721591312e-05,-1.26089930031492e-05,4.0812370660781e-07,-8.04354492102144e-05,-9.1706645057088e-05,1.3350010678731e-06,1.11944923189e-05,-0.00011239485424408,-7.21851033627097e-05,4.39850519001472e-05,8.81152706688759e-06,0.00010690872737116,6.91017585293871e-05,-0.000144780012959478,-3.64823056530073e-05,0.000572944476725595,0.00114353669675211,0.0123179257404038,0.0157313901352327,-0.000242827543603941,0.000217609557597642,-8.38168079642099e-05,-0.000100331928979736,6.79277068815765e-07,1.36970344399856e-07,-3.78069688417729e-05,0.000108297707306471,0.00057059222002652,0.00341346439482892,0.000460437101201583,-1.65151210155257e-05,-5.42306724415909e-07,3.78069688417729e-05,0.00057059222002652,0.000460437101201583,5.42306724415909e-07
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,14,-0.000137438953472,-1.9413821812142e-05,-9.18997512628916e-05,8.22901653574348e-06,-4.14878999437374e-05,-7.81641468220462e-05,-2.25412083152687e-05,9.54137991492077e-06,-7.30099642731741e-05,-5.34562587056753e-05,2.36299511005289e-05,6.52532515070525e-06,0.000113113258487721,7.92167426611461e-05,-0.00016567816506409,-5.62458735738625e-05,0.000208969148382809,0.000834186827263342,0.0122189467452767,0.0161722922091156,-0.000337041823255335,0.000153242320729774,-5.24907740071523e-05,-6.71438526029799e-05,9.04967610937391e-06,7.40835696211306e-06,-3.38965158265753e-05,0.000109432291490227,0.000625217678880532,0.00395334546383896,0.000490284143985109,-1.46530785958277e-05,-1.64131914726084e-06,3.38965158265753e-05,0.000625217678880532,0.000490284143985109,1.64131914726084e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,15,-0.0001099511627776,-2.29190587386352e-05,-0.000145040452981249,1.66933044156714e-05,-1.49234813862087e-05,-6.77630433914e-05,-3.79497334737772e-05,8.27173285292138e-06,-4.54698080707416e-05,-3.84183270333294e-05,1.08579584076479e-05,4.68966743481791e-06,0.000112267104294295,7.84298673431709e-05,-0.000175018602358107,-6.15997337894969e-05,-0.000101457589365722,0.00057063928426794,0.0118120154872789,0.0163386241881556,-0.000402357403388565,0.000112276497425956,-3.07753499877439e-05,-4.33543637595735e-05,1.85242532193541e-05,1.48623556119887e-05,-3.38372369511238e-05,0.00011341886856861,0.000672096873633662,0.00452660870087662,0.000514633900814521,-1.25790137718296e-05,-3.66189760736546e-06,3.38372369511238e-05,0.000672096873633662,0.000514633900814521,3.66189760736546e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,16,-8.79609302220801e-05,-2.38590407550809e-05,-0.000175377493953799,2.47587752684186e-05,8.78164730711006e-07,-6.00652341007368e-05,-4.59782338667197e-05,7.33207284329962e-06,-2.79630072708148e-05,-2.69678698132658e-05,4.16242494388763e-06,3.29192733300454e-06,0.000107951252525363,7.4771865961951e-05,-0.000176685842923491,-6.12861272586834e-05,-0.000352766930094228,0.000354510052580345,0.0111639481700028,0.0162846686360321,-0.000440720495428537,8.99655075210504e-05,-1.74048549187455e-05,-2.76644660335279e-05,2.7958458035382e-05,2.15590925016773e-05,-3.31793865634119e-05,0.000115399715664807,0.000707276982674573,0.00512072046602929,0.000530686002949587,-1.02596111147824e-05,-6.39936553370468e-06,3.31793865634119e-05,0.000707276982674573,0.000530686002949587,6.39936553370468e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,17,-7.03687441776641e-05,-2.12008860378532e-05,-0.000188145226432068,3.16896293743874e-05,8.30665848849943e-06,-5.4542500208421e-05,-4.83194512787416e-05,6.65792101822715e-06,-1.79914164905037e-05,-1.86813976178479e-05,1.67684835976345e-06,2.28041012741154e-06,0.000102425208706562,7.27166893113706e-05,-0.0001736377502813,-6.06770332746143e-05,-0.000546481750266309,0.000181727236075721,0.0103383677154865,0.0160592791562069,-0.000456608912946854,8.03184600826068e-05,-1.05480891205989e-05,-1.81984108286182e-05,3.64616912864602e-05,2.69175674620925e-05,-2.97085193951916e-05,0.000112960717006685,0.00072820898634203,0.0057209114407204,0.000536927373029461,-7.65032170801927e-06,-9.54412382436765e-06,2.97085193951916e-05,0.00072820898634203,0.000536927373029461,9.54412382436765e-06
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,18,-5.62949953421312e-05,-1.5358098836904e-05,-0.000188891890350429,3.70953063042467e-05,9.87993672518783e-06,-5.06604400578592e-05,-4.67737189489836e-05,6.18404377072945e-06,-1.30180844138961e-05,-1.29567080408011e-05,1.63529492690218e-06,1.58160587546141e-06,9.68837279318128e-05,7.40145007963218e-05,-0.000167910649649966,-6.23770997435907e-05,-0.000688350203014595,4.54321080696901e-05,0.00939155831958471,0.0157032292853714,-0.000455418733814716,7.76349531137477e-05,-8.28217630965966e-06,-1.29996715019232e-05,4.34754275830951e-05,3.07151850253984e-05,-2.2869227135491e-05,0.000105533549906375,0.000733782311084286,0.00631167096578666,0.000533053686928464,-4.7174951922635e-06,-1.27602425576967e-05,2.2869227135491e-05,0.000733782311084286,0.000533053686928464,1.27602425576967e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,19,-4.50359962737049e-05,-7.42938435815965e-06,-0.000182505630141327,4.08852220008527e-05,7.8369632714459e-06,-4.7939323224111e-05,-4.29384882505157e-05,5.85188112890711e-06,-1.08657275024182e-05,-9.14105714533431e-06,2.62449244159413e-06,1.11583510591096e-06,9.17769256698125e-05,7.8628239082024e-05,-0.000160769001202876,-6.70320219716136e-05,-0.000786055330814397,-6.18964300102554e-05,0.00837071403078093,0.015248752123227,-0.000442371468767799,7.73602084851444e-05,-8.89592267716566e-06,-1.03483263952375e-05,4.87576610259666e-05,3.30127829759608e-05,-1.31486865877885e-05,9.37369792312626e-05,0.000724158900804142,0.00687803809244603,0.000519731677252944,-1.45240371807187e-06,-1.57448780500058e-05,1.31486865877885e-05,0.000724158900804142,0.000519731677252944,1.57448780500058e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,20,-3.60287970189639e-05,1.34059895295913e-06,-0.000172752785521646,4.31848988688976e-05,3.93700412082421e-06,-4.59878325562713e-05,-3.80581414695103e-05,5.61366559635734e-06,-9.89892151437299e-06,-6.62653734273544e-06,3.67141318985409e-06,8.08891453152327e-07,8.71114479126661e-05,8.55683392513469e-05,-0.000152910748673185,-7.4116942240729e-05,-0.00084761112125685,-0.000147115647615381,0.00731383505875449,0.0147204176725308,-0.000421899661612213,7.63940905688099e-05,-1.10404468822711e-05,-8.91720626283732e-06,5.23172694970597e-05,3.40525282409576e-05,-1.54310866131921e-06,7.87938064324561e-05,0.000700495473641469,0.00740658261377636,0.000498293752181023,2.12324061943381e-06,-1.82647412561021e-05,1.54310866131921e-06,0.000700495473641469,0.000498293752181023,1.82647412561021e-05
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,21,-2.88230376151711e-05,9.88363476039922e-06,-0.000162190002144458,4.42456848801509e-05,-5.86182399175961e-07,-4.45131657986764e-05,-3.29915229198008e-05,5.43365524180439e-06,-9.04734758111481e-06,-4.9076037406115e-06,4.22030939517537e-06,5.99063812056766e-07,8.26895572068956e-05,9.3526341669781e-05,-0.000144668996406722,-8.25796648862148e-05,-0.000880397660320553,-0.000215769438531424,0.00625059152196528,0.0141366377921863,-0.000397407025957475,7.30270216686701e-05,-1.37642774190594e-05,-7.80542442901933e-06,5.43312968004361e-05,3.41600729598657e-05,1.08367844628855e-05,6.20893315205068e-05,0.000664628221789129,0.00788604627022105,0.000470434047626145,5.95885299004006e-06,-2.01712238405705e-05,1.08367844628855e-05,0.000664628221789129,0.000470434047626145,2.01712238405705e-05
