scenario,label,phi_pi,horizon,yagg,pinfagg,r,y1,y2,pinf1,pinf2,y_gap,pinf_gap,abs_y_gap,abs_pinf_gap
hawkish_phi_150,phi_pi = 1.5,1.5,9,-2.80579437801354e-05,3.02536387519758e-06,-9.7251197381798e-06,-2.28151653159925e-05,-3.33007222441672e-05,2.49674729357885e-06,3.55398045659427e-06,-1.04855569281748e-05,1.05723316301543e-06,1.04855569281748e-05,1.05723316301543e-06
hawkish_phi_150,phi_pi = 1.5,1.5,10,-8.14197312071219e-06,7.24287232967136e-06,-7.73744501847418e-06,-3.6995845696941e-06,-1.25843616718413e-05,6.86829202778405e-06,7.61745263155866e-06,-8.88477710214719e-06,7.49160603774612e-07,8.88477710214719e-06,7.49160603774612e-07
hawkish_phi_150,phi_pi = 1.5,1.5,11,6.75544167227926e-06,8.27322295626765e-06,-5.64194510244143e-06,1.11662726813844e-05,2.34461066317415e-06,8.07274752134823e-06,8.47369839118706e-06,-8.82166201821022e-06,4.00950869838823e-07,8.82166201821022e-06,4.00950869838823e-07
hawkish_phi_150,phi_pi = 1.5,1.5,12,1.6521180771889e-05,7.29079990691162e-06,-3.80620332585124e-06,2.14507985338841e-05,1.15915630098939e-05,7.23944816316546e-06,7.34215165087981e-06,-9.85923552399015e-06,1.02703487714351e-07,9.85923552399015e-06,1.02703487714351e-07
hawkish_phi_150,phi_pi = 1.5,1.5,13,2.18075522706584e-05,5.27863875987578e-06,-2.40551093599883e-06,2.75561735185725e-05,1.60589310227444e-05,5.3275350320181e-06,5.22974248773345e-06,-1.14972424958282e-05,-9.77925442846583e-08,1.14972424958282e-05,9.77925442846583e-08
hawkish_phi_150,phi_pi = 1.5,1.5,14,2.36419783130604e-05,2.96748418260329e-06,-1.47653316506791e-06,3.02826422484692e-05,1.70013143778736e-05,3.06138246886078e-06,2.87358589634579e-06,-1.32813278705957e-05,-1.87796572514998e-07,1.32813278705957e-05,1.87796572514998e-07
hawkish_phi_150,phi_pi = 1.5,1.5,15,2.31321415302688e-05,8.33184732762504e-07,-9.68981742177633e-07,3.05635102626489e-05,1.57007727976666e-05,9.22662090285797e-07,7.43707375239211e-07,-1.48627374649823e-05,-1.78954715046586e-07,1.48627374649823e-05,1.78954715046586e-07
hawkish_phi_150,phi_pi = 1.5,1.5,16,2.12750941959161e-05,-8.68921333219141e-07,-7.88838374177203e-07,2.92843730667069e-05,1.32658153249032e-05,-8.20663395240118e-07,-9.17179271198165e-07,-1.60185577418037e-05,-9.65158759580476e-08,1.60185577418037e-05,9.65158759580476e-08
hawkish_phi_150,phi_pi = 1.5,1.5,17,1.88581004749722e-05,-2.05179328494065e-06,-8.30346443825292e-07,2.71803960778527e-05,1.05358048720916e-05,-2.06663349477942e-06,-2.03695307499085e-06,-1.66445912057611e-05,2.96804197885692e-08,1.66445912057611e-05,2.96804197885692e-08
hawkish_phi_150,phi_pi = 1.5,1.5,18,1.64295161093619e-05,-2.74114761311672e-06,-9.96682487208744e-07,2.47957364511997e-05,8.06329576752418e-06,-2.82696343500977e-06,-2.65533179122368e-06,-1.67324406836755e-05,1.71631643786085e-07,1.67324406836755e-05,1.71631643786085e-07
hawkish_phi_150,phi_pi = 1.5,1.5,19,1.4316057808994e-05,-3.02592834899862e-06,-1.21088158611116e-06,2.24862085749233e-05,6.14590704284268e-06,-3.17940735594657e-06,-2.87244934216169e-06,-1.63403015320807e-05,3.06958013784886e-07,1.63403015320807e-05,3.06958013784886e-07
hawkish_phi_150,phi_pi = 1.5,1.5,20,1.26653569409996e-05,-3.01956348691679e-06,-1.4193701483034e-06,2.04474821341449e-05,4.88323174785421e-06,-3.2297843024498e-06,-2.8093426714948e-06,-1.55642503862907e-05,4.20441630955004e-07,1.55642503862907e-05,4.20441630955004e-07
hawkish_phi_150,phi_pi = 1.5,1.5,21,1.14974150946523e-05,-2.83330998751552e-06,-1.59058701965087e-06,1.87544823455621e-05,4.24034784396454e-06,-3.0852698132966e-06,-2.58135016162342e-06,-1.45141345015976e-05,5.03919651673179e-07,1.45141345015976e-05,5.03919651673179e-07
hawkish_phi_150,phi_pi = 1.5,1.5,22,1.07538502909232e-05,-2.56070522808294e-06,-1.71088920786211e-06,1.74018031440237e-05,4.10589743782275e-06,-2.83828507252615e-06,-2.28312538352871e-06,-1.3295905706201e-05,5.55159688997442e-07,1.3295905706201e-05,5.55159688997442e-07
hawkish_phi_150,phi_pi = 1.5,1.5,23,1.03386192220611e-05,-2.27091520721423e-06,-1.77944785151318e-06,1.63389109542056e-05,4.33832748991669e-06,-2.55904685098063e-06,-1.98278356355885e-06,-1.20005834642889e-05,5.76263287421774e-07,1.20005834642889e-05,5.76263287421774e-07
hawkish_phi_150,phi_pi = 1.5,1.5,24,1.01476973952686e-05,-2.00835852948167e-06,-1.80329781929167e-06,1.54971910713009e-05,4.79820371945827e-06,-2.2943626076799e-06,-1.72235445128344e-06,-1.06989873518426e-05,5.72008156396464e-07,1.06989873518426e-05,5.72008156396464e-07
hawkish_phi_150,phi_pi = 1.5,1.5,25,1.00878358015866e-05,-1.79612344275437e-06,-1.79321062176996e-06,1.4808268797184e-05,5.36740280576709e-06,-2.07032042154331e-06,-1.52192646385441e-06,-9.44086599141691e-06,5.48393957688909e-07,9.44086599141691e-06,5.48393957688909e-07
hawkish_phi_150,phi_pi = 1.5,1.5,26,1.00860681908621e-05,-1.64114174394658e-06,-1.76066792278995e-06,1.42145362320711e-05,5.95760014943103e-06,-1.89690504115436e-06,-1.38537844684983e-06,-8.25693608264011e-06,5.11526594304534e-07,8.25693608264011e-06,5.11526594304534e-07
hawkish_phi_150,phi_pi = 1.5,1.5,27,1.00923244057416e-05,-1.53964844462617e-06,-1.71593852726915e-06,1.36735705635882e-05,6.51107824789499e-06,-1.77308629156769e-06,-1.30621059768465e-06,-7.16249231569321e-06,4.6687569388304e-07,7.16249231569321e-06,4.6687569388304e-07
hawkish_phi_150,phi_pi = 1.5,1.5,28,1.00775650924145e-05,-1.48200891736394e-06,-1.66709789328756e-06,1.31583317866113e-05,6.99679839799572e-06,-1.69144539063915e-06,-1.27257244408874e-06,-6.16153338861558e-06,4.18872946550408e-07,6.16153338861558e-06,4.18872946550408e-07
hawkish_phi_150,phi_pi = 1.5,1.5,29,1.00295337470691e-05,-1.45645956262097e-06,-1.61975537360526e-06,1.26548717220842e-05,7.40419577227591e-06,-1.6418507109428e-06,-1.27106841429914e-06,-5.25067594980833e-06,3.70782296643668e-07,5.25067594980833e-06,3.70782296643668e-07
hawkish_phi_150,phi_pi = 1.5,1.5,30,9.94772364237839e-06,-1.45165136566927e-06,-1.57724495597478e-06,1.21589401964606e-05,7.73650708829621e-06,-1.61403154042006e-06,-1.28927119091848e-06,-4.42243310816437e-06,3.24760349501574e-07,4.42243310816437e-06,3.24760349501574e-07
hawkish_phi_150,phi_pi = 1.5,1.5,31,9.83862541148461e-06,-1.45810649387901e-06,-1.54106563199363e-06,1.16724661913814e-05,8.00478463136578e-06,-1.59912115382799e-06,-1.31709183381901e-06,-3.66768156001562e-06,2.82029320008981e-07,3.66768156001562e-06,2.82029320008981e-07
hawkish_phi_150,phi_pi = 1.5,1.5,32,9.71184765030664e-06,-1.46881338625171e-06,-1.511407080379e-06,1.12005067129939e-05,8.22318858761939e-06,-1.59036259417267e-06,-1.34726417821973e-06,-2.9773181253745e-06,2.43098415952936e-07,2.9773181253745e-06,2.43098415952936e-07
hawkish_phi_150,phi_pi = 1.5,1.5,33,9.57733387130233e-06,-1.47922130022682e-06,-1.48765006557916e-06,1.07489412741746e-05,8.40572646843007e-06,-1.58321481358303e-06,-1.3752277868706e-06,-2.34321480574451e-06,2.07987026712431e-07,2.34321480574451e-06,2.07987026712431e-07
hawkish_phi_150,phi_pi = 1.5,1.5,34,9.44364660138142e-06,-1.48687804546466e-06,-1.46877924156463e-06,1.03229629055956e-05,8.56433029716719e-06,-1.57508827292041e-06,-1.3986678180089e-06,-1.75863260842846e-06,1.76420454911508e-07,1.75863260842846e-06,1.76420454911508e-07
hawkish_phi_150,phi_pi = 1.5,1.5,35,9.31714340302037e-06,-1.49090851431222e-06,-1.45368398718482e-06,9.92627513829447e-06,8.70801166752422e-06,-1.56490038394352e-06,-1.41691664468091e-06,-1.21826347077025e-06,1.47983739262614e-07,1.21826347077025e-06,1.47983739262614e-07
hawkish_phi_150,phi_pi = 1.5,1.5,36,9.20180851049501e-06,-1.49147508243797e-06,-1.44134910096128e-06,9.56083440994959e-06,8.84278261126248e-06,-1.55259019840592e-06,-1.43035996658103e-06,-7.18051798687114e-07,1.22230231824894e-07,7.18051798687114e-07,1.22230231824894e-07
hawkish_phi_150,phi_pi = 1.5,1.5,37,9.09950226102296e-06,-1.48930652854595e-06,-1.43095253091197e-06,9.2269600242556e-06,8.97204449779032e-06,-1.5386809802953e-06,-1.4399320767966e-06,-2.54915526465282e-07,9.87489034987021e-08,2.54915526465282e-07,9.87489034987021e-08
hawkish_phi_150,phi_pi = 1.5,1.5,38,9.01042466994184e-06,-1.48533696409103e-06,-1.42189394236603e-06,8.92365020210839e-06,9.09719913777529e-06,-1.52393609742507e-06,-1.44673783086802e-06,1.73548935666901e-07,7.71982665570548e-08,1.73548935666901e-07,7.71982665570548e-08
hawkish_phi_150,phi_pi = 1.5,1.5,39,8.93363990850382e-06,-1.48046327419493e-06,-1.41377837858947e-06,8.64897669794473e-06,9.21830311884086e-06,-1.50912134089243e-06,-1.45180520738641e-06,5.69326420896132e-07,5.73161335060135e-08,5.69326420896132e-07,5.73161335060135e-08
hawkish_phi_150,phi_pi = 1.5,1.5,40,8.86756106543984e-06,-1.47540867134754e-06,-1.40637598522453e-06,8.40046971806174e-06,9.33465241303999e-06,-1.49486565348411e-06,-1.45595168921098e-06,9.34182694978247e-07,3.89139642731351e-08,9.34182694978247e-07,3.89139642731351e-08
hawkish_phi_200,phi_pi = 2.0,2,1,0.00225156506960533,0.000482047717593526,0.000120126458802883,0.00222295317653165,0.00228017696267901,0.000480855006331327,0.000483240428855725,5.72237861473646e-05,2.385422524398e-06,5.72237861473646e-05,2.385422524398e-06
hawkish_phi_200,phi_pi = 2.0,2,2,-5.81172093658822e-05,-0.000174646902290632,7.2244567920654e-05,-6.00139194437688e-05,-5.62204992878845e-05,-0.000173011315163674,-0.00017628248941759,3.79342015588424e-06,-3.27117425391599e-06,3.79342015588424e-06,3.27117425391599e-06
hawkish_phi_200,phi_pi = 2.0,2,3,-7.97676723435226e-05,-0.000128136152389269,3.83282856728506e-05,-6.91639880078254e-05,-9.03713566792197e-05,-0.000126280984931615,-0.000129991319846923,-2.12073686713943e-05,-3.71033491530781e-06,2.12073686713943e-05,3.71033491530781e-06
hawkish_phi_200,phi_pi = 2.0,2,4,-9.90120260916383e-05,-9.17442491924492e-05,1.49611438737818e-05,-8.41050590905112e-05,-0.000113918993092876,-9.05644672359873e-05,-9.29240311488e-05,-2.98139340023651e-05,-2.35956391281267e-06,2.98139340023651e-05,2.35956391281267e-06
hawkish_phi_200,phi_pi = 2.0,2,5,-0.000102925037003154,-6.13325276901389e-05,3.4973013596229e-08,-8.82263139141415e-05,-0.000117623760092056,-6.09442725548748e-05,-6.17207828252919e-05,-2.93974461779145e-05,-7.76510270417141e-07,2.93974461779145e-05,7.76510270417141e-07
hawkish_phi_200,phi_pi = 2.0,2,6,-9.21681789369799e-05,-3.65379649152064e-05,-8.28092304772099e-06,-7.97696711981599e-05,-0.000104566686675911,-3.67445211665318e-05,-3.633140866377e-05,-2.4797015477751e-05,4.1311250276177e-07,2.4797015477751e-05,4.1311250276177e-07
hawkish_phi_200,phi_pi = 2.0,2,7,-7.20354131058532e-05,-1.76458457300521e-05,-1.17452784975658e-05,-6.24630154482109e-05,-8.16078107634954e-05,-1.81728843307027e-05,-1.71188071292905e-05,-1.91447953152846e-05,1.05407720141226e-06,1.91447953152846e-05,1.05407720141226e-06
hawkish_phi_200,phi_pi = 2.0,2,8,-4.82872208181773e-05,-4.54702742092028e-06,-1.19770917512696e-05,-4.11476534127875e-05,-5.54267882236781e-05,-5.15474434226171e-06,-3.93931049946783e-06,-1.42791348108906e-05,1.21543384279388e-06,1.42791348108906e-05,1.21543384279388e-06
hawkish_phi_200,phi_pi = 2.0,2,9,-2.54341334786634e-05,3.41467610120993e-06,-1.03464594594094e-05,-1.99059601337925e-05,-3.09623068234233e-05,2.88866156727963e-06,3.94069063514024e-06,-1.10563466896307e-05,1.05202906786062e-06,1.10563466896307e-05,1.05202906786062e-06
