scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,2,-0.0100067078483349,-0.0122428368735497,-0.00223612902521478
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,3,-0.0126699269060027,-0.0149531544099617,-0.00228322750395896
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,4,-0.0131994826307321,-0.0152324077691943,-0.0020329251384622
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,5,-0.0120103672189012,-0.0137160410299227,-0.00170567381102152
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,6,-0.00971411145732712,-0.011153714235651,-0.00143960277832385
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,7,-0.00690917626386268,-0.00820980918104194,-0.00130063291717926
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,8,-0.00407555860114717,-0.00537550089295871,-0.00129994229181155
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,9,-0.00153888431531475,-0.00295228349231216,-0.00141339917699741
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,10,0.000523252490104265,-0.0010759697620371,-0.00159922225214136
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,11,0.00205306785384694,0.000241278225446132,-0.00181178962840081
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,12,0.00307669773516124,0.00106579756280444,-0.00201090017235681
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,13,0.00366963150383222,0.00150286941255121,-0.00216676209128101
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,14,0.00392832120342941,0.00166678002118373,-0.00226154118224568
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,15,0.00394979466498742,0.0016612802154904,-0.00228851444949701
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,16,0.00381911103216487,0.001569267152412,-0.00224984387975287
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,17,0.00360337619110883,0.00144956606495254,-0.00215381012615629
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,18,0.00335057563176341,0.0013384655224746,-0.00201211010928881
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,19,0.0030914730688783,0.00125388704209771,-0.00183758602678059
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,20,0.00284307862888156,0.00120052630133433,-0.00164255232754723
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,21,0.00261256361234895,0.00117482522065181,-0.00143773839169714
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,22,0.0024008863265528,0.0011691162818404,-0.00123177004471241
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,23,0.00220573219192367,0.00117466649996158,-0.0010310656919621
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,24,0.00202363115882223,0.00118361968070121,-0.000840011478121017
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,25,0.00185129019889131,0.00118999798364575,-0.000661292215245565
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,26,0.0016862770827831,0.0011899971647417,-0.000496279918041395
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,27,0.00152723028164686,0.00118181920299665,-0.000345411078650215
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,28,0.00137376720853376,0.00116525573042595,-0.000208511478107812
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,29,0.00122623625260354,0.00114118619914946,-8.50500534540777e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,30,0.00108542087181775,0.00111110105669308,2.56801848753374e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,31,0.000952266087614867,0.00107671194236317,0.000124445854748301
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,32,0.000827664937032152,0.00103967298759103,0.000212008050558876
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,33,0.000712317518714325,0.00100141111935542,0.000289093600641097
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,34,0.000606658688017001,0.000963047945612791,0.000356389257595791
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,35,0.000510841265180251,0.000925389219871259,0.000414547954691008
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,36,0.000424758168507011,0.00088895748484745,0.000464199316340438
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,37,0.000348087345648507,0.000854046848873177,0.000505959503224671
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,38,0.000280346089052058,0.000820783949407919,0.000540437860355861
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,39,0.000220944967381995,0.000789184552815153,0.000568239585433158
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public investment,40,0.000169235262137468,0.00075920001807471,0.000589964755937242
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,1,-0.00534815634845831,-0.00694081602022134,-0.00159265967176303
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,2,-0.0152211602880818,-0.0190101324932654,-0.00378897220518359
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,3,-0.0275105581868824,-0.0334880335908956,-0.00597747540401317
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,4,-0.0400222768629424,-0.0478832405203176,-0.00786096365737521
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,5,-0.0510320871602703,-0.060402200537232,-0.0093701133769617
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,6,-0.059470396438591,-0.0700458597594524,-0.0105754633208615
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,7,-0.0648928127914892,-0.0765045224465082,-0.011611709655019
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,8,-0.0673460510728492,-0.0799674102783041,-0.0126213592054549
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,9,-0.0672012841113427,-0.0809205085136586,-0.0137192244023159
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,10,-0.0649979995184555,-0.0799734655628543,-0.0149754660443988
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,11,-0.0613199816766472,-0.0777328506983372,-0.01641286902169
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,12,-0.0567102843995699,-0.0747237318680742,-0.0180134474685043
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,13,-0.0516228957857487,-0.0713527691588212,-0.0197298733730724
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,14,-0.0464040021876762,-0.0679021699086668,-0.0214981677209907
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,15,-0.0412941074679969,-0.0645433354454599,-0.023249227977463
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,16,-0.0364426437491323,-0.0613604849069116,-0.0249178411577793
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,17,-0.0319282014642952,-0.0583769067192863,-0.0264487052549911
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Public capital,18,-0.0277794207959245,-0.0555790185288294,-0.0277995977329049
